system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00,p99_00,p99_50,p99_90,p99_95,p99_99
pharos,write,4,128K,129.39,2.89,0.7,1527,42.5,1035,0,0,0,0,31,65,0,0,0,0,0,0,0,0,0,0,1.688,13.632,22.144,544.768,1515.52,1531.904
pharos,write,16,1K,13.344,0.652,0.1,840,4.8,13664,0,0,13,72,11,0,0,1,0,0,0,0,0,0,0,0,0.724,6.56,14.4,33.024,50.432,152.576
pharos,write,16,8K,100.125,0.635,0.2,1532,15,12816,0,0,0,88,9,0,0,0,0,0,0,0,0,0,0,0,0.692,0.804,1.192,17.024,40.192,733.184
pharos,write,16,128K,137.154,7.052,0.7,3915,80,1097,0,0,0,0,1,20,71,1,2,2,0,0,0,0,0,0,10.176,40.192,59.648,1531.904,1531.904,3620.864
skytap,randread,1,8K,1.687,4.626,0.3,433,11.1,215,0,0,0,3,61,7,0,8,14,2,0,0,0,0,0,0,18.048,33.024,52.992,124.416,179.2,378.88
skytap,randread,8,8K,26.853,2.322,0.3,685,6.3,3437,0,0,0,7,65,12,1,5,6,0,0,0,0,0,0,0,12.096,19.584,23.936,52.48,79.36,201.728
skytap,randread,16,8K,91.882,1.353,0.3,646,4.1,11760,0,0,0,1,76,18,0,1,2,0,0,0,0,0,0,0,1.704,14.784,18.56,31.616,46.848,146.432
skytap,randread,32,8K,103.922,2.4,0.3,468,2.6,13302,0,0,0,0,0,13,83,1,0,0,0,0,0,0,0,0,2.704,10.048,14.016,22.912,30.336,96.768
skytap,randread,64,8K,104.818,4.757,0.3,571,2.7,13416,0,0,0,0,1,1,2,93,0,0,0,0,0,0,0,0,5.728,11.712,17.536,31.36,42.752,98.816
skytap,read,1,8K,9.405,0.828,0.3,68,1.1,1203,0,0,0,14,81,2,0,0,0,0,0,0,0,0,0,0,0.956,1.96,2.512,13.504,31.616,37.632
skytap,read,1,32K,28.386,1.098,0.5,59,1.4,908,0,0,0,0,30,68,0,0,0,0,0,0,0,0,0,0,1.16,1.72,4.384,36.608,39.168,42.752
skytap,read,1,128K,58.999,2.12,1,131,2,471,0,0,0,0,0,69,29,0,0,0,0,0,0,0,0,0,2.128,7.136,12.608,36.096,39.168,58.112
skytap,read,1,1M,92.433,10.81,9,76,3.8,92,0,0,0,0,0,0,0,58,38,2,0,0,0,0,0,0,14.784,30.08,35.584,56.576,59.136,77.312
skytap,read,8,1M,106.513,74.2,9,291,20.1,106,0,0,0,0,0,0,0,0,0,3,86,9,0,0,0,0,121,139,159,206,255,293
skytap,read,16,1M,103.671,145.41,9,513,44,103,0,0,0,0,0,0,0,0,0,1,8,86,3,0,0,0,235,293,343,392,437,515
skytap,read,32,1M,106.72,233.65,9,888,102.1,106,0,0,0,0,0,0,0,0,0,2,11,34,49,1,0,0,412,502,545,668,701,889
skytap,read,64,1M,107.41,211.52,9,628,117.9,107,0,0,0,0,0,0,0,0,0,2,16,42,37,1,0,0,412,502,519,611,619,627
skytap,write,1,1K,1.295,0.751,0.2,240,1.7,1326,0,0,0,16,80,2,0,0,0,0,0,0,0,0,0,0,0.916,1.848,4.576,15.808,19.328,39.68
skytap,write,1,8K,6.718,1.16,0.3,366,3.7,859,0,0,0,10,82,2,0,0,1,0,0,0,0,0,0,0,1.08,12.736,16.768,24.96,47.872,168.96
